name,cost,type,subtype,description,attack,health,move,value,Notes
The Novice,,Wielder,Novice,You may create a conduit and/or move your wielder once per turn,-,-,1,,
Spike bomb,3,Structure,,"When deployed, Spike Bomb deals 1 damage to each adjacent unit.
At the start of the next turn, sacrifice it. It pushes and deals 3 damage to each adjacent unit",,3,,,
Black hole,2,Environ,,"Reaction: Gravity Well: When a unit enters a tile within range 2, this pulls the unit. 
Sacrifice any unit that occupies this tile",,,,,
Mountain range,2,Environ,,This tile and tiles <|> are Volcanic. This deals 1 damage to units that exit this tile and tiles <|>. ,,,,,
Distortion Crystal,3,Structure,,Units around Distortion Crystal cannot move or attack,,,,,
Otherworld Door,2,Structure,,"Reaction: Teleport: When a friendly unit enters this tile, it may teleport to another Otherworld Door",,2,,,
Descend the Tomes,3,Stratagem,,You must discard 2 cards or take 3 damage to use this card. Search your deck for a card and put it into your hand,,,,,
Show of Force,2,Stratagem,,"Search you deck for a unit, reveal it, and put it into your hand",,,,,
Flow Focus,2,Stratagem,,Draw 3 cards. Gain fatigued (You can't draw cards until your next turn),,,,,
Brawler's Gauntlets,2,Equip Warrior,,"When the equipped unit deals damage to an adjacent unit, the equipped unit pushes the damaged unit. (A pushed occupant moves away from the source 1 tile in a straight line. If the tile is occupied, the source deals 1 damage instead)",,,,,
Axe,2,Equip Warrior,,"Reaction: When the euipped unit deals damage to an adjacent unit, it deals 2 damage to that unit and enemy units <|> or ^|v from it.",,,,,
Volcanic Generator,4,Structure,,"Reaction: At the start of your turn, this deals push and 1 damage to occupants in adjacent tiles.",,3,,,
Forenzen Arana Ley,2,Unit,Fenan Scholar,"Reaction: Fen Delve: When this unit is deployed, you may discard 2 cards. If you do, chose your deck or damage pile. Search that zone for a card, then shuffle the chosen zone",1,2,1,,
Landslide,2,Stratagem,,Chose a row or column you occupy. Enemies in that row or column can't move until the start of your next turn,,,,,
Swamp Donkey,3,Unit,Fenan Beast,"Reaction: Fen Surge: When this unit attacks, adjacent enemies can't move until the start of your next turn. Then draw a card for each adjacent enemy. You gain fatigued until the start of your next turn. (You can't draw cards while fatigued)",3,3,1,,
Corlian Recruit Station,3,Structure,,"Power: Once during your turn, this may deal 1 damage to you. If it does put a unit with cost 2 or less from your hand adjacent to this structure",,3,,,
Argen Malitia,4,Unit,Corlian Warrior,You may count this as 2 units when finding the number of adjacent friendly units,2,3,2,,
"Cyllix, Zahadak Ascendant",1,Unit,Corlian Scholar,"Power: Collective Knowledge: Once per turn, discard a card then draw cards equal to the total cost of adjacent friendly units",0,1,1,,
"Orlak, Ape Huntsman",4,Unit,Simian Warrior,"When this destroys a unit during damage, draw a card",6,4,2,,
Orvlien treespeaker,1,Unit,Simian Scholar,Simians deployed adjacent to this cost 1 less to deploy,1,1,1,,
"Kavlark, Canopy Scout",2,Unit,Simian Ranger,This can only attack if you have 3 or more cards in hand,2,2,2,,
"Arshyyk, Canopy-Forged",1,Unit,Simian Scholar,"Reaction: Canpoy Delve: When this is deployed, search your deck for an environ, put it into your hand, and shuffle.",,,,,
Simmish Infantry,3,Unit,Simian Warrior,"When an adjacent tile becomes a canopy tile, draw a card",2,3,2,,
Verdaclan Treelauncher,5,Unit,Simian Construct,"Reaction: Voracious Appetite: At the start of your turn, discard two cards or this unit's attack is 0",8,9,2,,
"Karava, Treebound",6,Unit,Simian Construct,"Aura: Forest Spirit: If this unit is not in or adjacent to a friendly canopy, it's destroyed",7,7,2,,
"Sybilak, Glade Leavion",3,Unit,Simian Ranger,Reaction: Pathfind: You may have  a chosen adjacent friendly unit move to a canopy tile within 2 tiles of this unit. Neither this unit or the chosen unit can move the turn you use this reaction,2,1,1,,
Trenshish,4,Unit,Simian Ranger,Can move to a canopy tile within range 3 (3 tiles in a straight line in any direction),4,5,1,,
Apeoreal,2,Unit,Simian Ranger,Can move to a canopy tile within range 2. Gains +1hlt while occupying a canpoy tile,2,1,1,,
Verdancaln Cannon,3,Unit,Simian Construct,Bombard 3 (can attack units within 3 tiles of CARDNAME). CARDNAME can only attack targets behind an enemy,5,2,1,,
"Thrasgar, Wooded Simistic",2,Unit,Simian Mystic,"Power: Discard 2 cards, if you do, search your deck for an environ, reveal it, and put it into your hand",1,1,1,,
Verdance Surge,4,Environ,,Place this on a tile in the row or column you occupy. That tile becomes a canopy tile,,,,,
Cannopize,2,Environ,,Costs 1 less if adjacent to a friendly Simian. Chose ^|v or <|>. This tile and tiles in the chosen direction become Canopy tiles,,,,,
Sanctuary Glade,1,Environ,,This tile is a canopy tile.,,,,,
Arbon Ambush,2,Tactic,Reaction,"Chose a unit you control, then deal damage to an enemy adjacent to that unit equal to the chosen unit's attack. ",,,,,
Mirage of Verda,1,Tactic,Augment Attack/Deployment,Choose a tile within 2 tiles of you. That tile and tiles ^|v become canpoy tiles until the end of the turn,,,,,
Range Strider,3,Unit,Scorshan Warrior,Costs 1 less when deployed into a Volcanic tile. This takes no damage from Volcanic environs,2,2,1,,
Voran's magmling,3,Unit,Scorshan Ranger,"When this is deployed in a Volcanic tile, draw 2 cards",2,2,2,,
Vent Eruptor,2,Environ,Volcanic,Power: Discard this environ then it pushes and deals 2 damage to each adjacent occupant,,,,,
