name,cost,type,subtype,description,attack,health,move,Notes,value
The Novice,,Wielder,Novice,You may create a conduit and/or move your wielder once per turn,-,-,1,,
CCo01 Harmony Keeper,1,Unit,Corlian,Aura: Strength of Many: Adjacent friendly units get +1Atk +1Def,1,1,1,"Unit, small, power up",
CCo02 Legion Leader,1,Unit,Corlian,Aura: Band Together: Adjacent friendly Corlians gain +1Atk +1Def +1Mv,1,1,1,"Unit, small, power up",
CCo03 Brigadeer,1,Unit,Corlian,"Reaction: Call the Brigade: When this unit enters the field, the next Corlian you play costs 1 less",1,2,1,"Unit, small, free chain",
CCo04 Quatermaster,2,Unit,Corlian,Power: Armaments: Once per turn you may pay 1 to reduce the cost of a unit deployed adjacent to this by 2 this turn,2,1,2,"Unit, small, free chain",
CCo05 Chamber Guard,2,Unit,Corlian,Reaction: Royal Guardsmanship: Sacrifice this unit to prevent all damage an adjacent unit takes this turn,1,3,1,"Unit, small, defense",
CCo06 Larry Bird,3,Unit,Corlian,"Reaction: Catapult Shot: Discard a card, to give this unit bombard 2 until the end of this turn ",3,1,2,"Unit, medium, Bombard",
CCo07 Magic Johnson,3,Unit,Corlian,Aura: Warrior Spirit: Each adjacent unit gains Atk equal to this unit's Atk,2,3,1,"Unit, medium, scaling power",
CCo08 City Beacon,2,Structure,Corlian,Aura: Searchlight: At the start of your turn choose an ally unit adjacent to this. That unit gains +2Def this turn,,2,,"Structure, power up",
CCo09 Supply Depot,2,Structure,Corlian,"This enters the field with 3 supply counters on it 
Reaction: Supply Lines: Remove a supply counter from this to give a unit within 2 tiles your choice of +2Atk or +2Def ",,2,,"Structure, long range power up",
CCo10 Bunker,3,Structure,Corlian,Reaction: Take Cover: At the start of each turn chose an ally adjacent to this. That ally takes no damage and has 0 base attack this turn,,1,,"Structure, defense",
CCo11,1,Stratagem,Corlian,Chosen unit adjacent to another ally gains +3 Def until the end of your next turn,,,,"Stratagem, End-of-next-turn defense",
CCo12,2,Tactic,Corlian,Chosen unit within 2 tiles of you gains +1Atk +2Def this turn,,,,"Tactic, Power up",
CCo13,2,Tactic,Corlian,Up to two chosen units with 2 tiles of you gain +2 Movement this turn,,,,"Tactic, Power up",
CSi01,1,Unit,Simian,Reaction: Sylvan Courage: When this enters the field the next Canopy environ you play this turn costs 1 less,1,1,1,"Unit, small, chain environ",
CSi02,2,Unit,Simian,This costs 1 less if deployed in a friendly canopy tile,3,1,1,"Unit, small, cheaper in canopy",
CSi03,1,Unit,Simian,"Reaction: Leaf Reading: When this enters the field, search your deck or damage for a canopy, reveal it and put it into your hand",1,1,1,"Unit, small, canopy search",
CSi04,2,Unit,Simian,Aura: Friendly Territory This unit has +1Mv when in or adjacent to a friendly environ,3,2,1,"Unit, medium, environ move",
CSi05,4,Unit,Simian,This costs 1 less if deployed in a friendly canopy tile,4,4,2,"Unit, large, cheaper in canopy",
CSi06,4,Unit,Simian,This unit can only be deployed on a tile with a friendly environ,6,6,1,"Unit, large, requires canopy",
CSi07,1,Environ,Canopy,Aura: Canopize: Tiles adjacent to this are canopy tiles,,,,"Environ, canopy",
CSi08,2,Environ,Canopy,"Reaction: Emerge from earth: When this enters the field, the next Simian you play this turn costs 1 less
Aura: Full Canopize: This tile and nearby tiles are canopy tiles",,,,"Environ, canopy, chain Simian",
CSi09,2,Environ,Canopy,"Aura: Paths of Grass: You may pay 2 to allow an ally to move through this tile for free.
Aura: Canopize:This tile and ajdacent tiles are canopy tiles",,,,"Environ, canopy, Free movement",
CSi10,1,Environ,Canopy,"Aura: Verdance Vigor: Friendly units in this environ gain +2Atk
Aura: Canopize: This tile and ajdacent tiles are canopy tiles",,,,"Environ, canopy, strength",
CSi11,2,Stratagem,Simian,Search your deck or damage pile for a canopy and reveal it. It costs 1 less when played this turn,,,,"Stratagem, search env, chain canopy",
CSi12,2,Tactic,Simian,Chosen unit in a friendly environ gets +1Atk +1Def for each adjacent friendly canopy tile,,,,"Tactic, Canopy gives Strength",
CFe01 Fennish Excavator,1,Unit,Fenan,"Reaction: Delver: If this unit enters the field adjacent to a friendly structure, draw 2 cards",0,1,1,"Unit, small, Draw card when deployed adjacent to struct",
CFe02,1,Unit,Fenan,Aura: Fen Camoflage: This unit can't be attacked while in a friendly Fen tile,2,1,1,"Unit, small, Can't be attacked in Fen",
CFe03,2,Unit,Fenan,"Reaction: From Dust: When this unit dies, move 6 cards from your damage pile to the bottom of your deck",2,2,1,"Unit, small, Restore health on death",
CFe04,3,Unit,Fenan,Reaction: Fenan Crusher: You may sacrifice this unit while it is adjacent to a friendly structure to destroy a chosen adjacent unit,2,2,2,"Unit, medium, sac to destroy adjacent",
CFe05,4,Unit,Fenan,"Aura: Assassination: When this unit deals damage to another unit while in a friendly fen, destroy that unit",4,3,2,"Unit, large, destroy defender when attacking from Fen",
CFe06,1,Environ,Fenan,Aura: Guard Sap: Enemy units in this tile get -1Def,,,,"Environ, drain enemy",
CFe07,1,Environ,Fenan,Aura: Flat Ground: Friendly structures deployed adjacent to this cost 1 less to deploy,,,,"Environ, structure cost reduction",
CFe08,2,Structure,Fenan,"Power: Mire Bells: Once per turn you may pay 1 and discard a card to search your deck for Fenan Ordinance, reveal it, then shuffle",,,,"Structure, weak, fenan search",
CFe09,2,Structure,Fenan,Power: Choke With Earth: Sacrifice this to destroy an adjacent unit,,2,,"Structure, weak, destroy adjacent",
CFe10,4,Stratagem,Fenan,Power: Interr: Sacrifice this to destroy all nearby units,,3,,"Structure, medium, destroy nearby",
