name,cost,type,subtype,description,attack,health,move,Notes,value,rarity
CCo01: Frontliner,1,Corlian,Unit,"Reaction: Push the advantage: When this unit enters the field, adjacent allies get +1 mv until the end of your next turn",1,1,1,,,C
CCo02: Legionnaire,2,Corlian,Unit,Aura: United Front: This gains +2atk and +2def if it has a friendly occupant to its right and left,2,2,1,,,C
CCo03: Duelist,2,Corlian,Unit,"Reaction: Duelist: When this unit attacks an enemy unit with no other enemies adjacent to it, destroy that unit after the damage step",3,1,1,,,C
CCo04: Ardent Recruiter,2,Corlian,Unit,Reaction: Recruitment Drive: When this enters the field you may put a unit that costs 1 or less onto the field adjacent to this without paying its cost,2,2,1,,,C
CCo05: Shield bearer,2,Corlian,Unit,Aura: Defensive Line: This unit can't attack. Units to the left and right of this gain +2 def ,1,3,1,,,C
CCo06: Archer,2,Corlian,Unit,Aura: Backliner:This unit can attack any valid non-adjacent target within 2 tiles. This can only attack if it has an ally in front and adjacent,2,2,1,,,C
CCo07: Colonel of Charges,3,Corlian,Unit,"Reaction: When this unit attacks, adjacent attacking units get +1atk +1 def",3,3,1,,,C
CCo08: Caravan Leader,4,Corlian,Unit,"Aura: Supply lines: Allies that start adjacent to this can move forward 1 tile ""for free""",3,5,1,,,C
CCo09: Fortress,1,Corlian,Structure,"Reaction: Take Cover: When an adjacent unit would take damage, you may have that damage be dealt to this structure instead",-,2,-,,,C
CCo10: Farmland,2,Corlian,Structure,Aura: Bountiful Harvest: You may sacrifice this to give all adjacent occupants +1atk +1def,-,2,-,,,C
CCo11: Valley Battlefield,2,Corlian,Eniviron,Only a unit behind this environ can attack the unit occupying this,,,,,,C
CCo12: Forward March,1,Corlian,Tactic,Give an adjacent Unit +1 mv,,,,,,C
CCo12: Forward March,1,Corlian,Tactic,All units adjacent to you get +2mv this turn,,,,,,
CCo13: Outflank,2,Corlian,Tactic,Destroy a chosen enemy unit with allies in front and behind of it,,,,,,C
CCo14: Strategize,1,Corlian,Stratagem,Draw a card for each Corlian occupant nearby you,,,,,,C
CCo15: Bolster the defense,2,Corlian,Stratagem,All friendly Units within 2 tiles of you gain +1atk +1 Def until the end of your next turn,,,,,,C
CSi01: Forest Dweller,1,Simian,Unit,Aura: Home Turf: This unit can only be deployed on a tile with a friendly environ,2,2,1,,,C
CSi02: Kyrian Sage,1,Simian,Unit,"Reaction: Leaf Reading: When this enters the field if it's in a friendly environ, search your deck or damage for a Simian, reveal it and put it into your hand. The shuffle both piles",1,1,1,,,C
CSi03: Leaf Traverser,2,Simian,Unit,Aura: Earthen Emergence: This costs 1 less if deployed in or adjacent to a friendly environ,2,2,1,,,C
CSi04: Forest Morpher,2,Simian,Unit,Aura: Arborialize: You can deploy environs adjacent to this. Non-simian environs deployed this way cost 2 more,2,2,1,,,C
CSi05: Treetrop Jumper,2,Simian,Unit,Aura: Vine Smasher: This gains +1atk for each environ it's in or adjacent to,2,2,1,,,C
CSi06: Angry Ape,2,Simian,Unit,Aura: Goading: Each unit that can attack this must do so.,3,1,1,,,C
CSi07: Aporial Guide,2,Simian,Unit,Aura: Friendly Territory This unit has +1Mv when in or adjacent to a friendly environ,2,2,1,,,C
CSi08: Simian Converger,3,Simian,Unit,"Reaction: Earthen Emergence: When this enters the field, the next environ you deploy costs 1 lesss",4,4,1,,,C
CSi09: Arborial Arielist,4,Simian,Unit,Aura: Treetop Gliding: This unit can move through friendly environs without expending movement,5,5,1,,,C
CSi10: King Ape,6,Simian,Unit,Aura: Forest Vitalization: This costs 1 less if deployed in or adjacent to a firendly environ,8,9,2,,,C
CSi11: Glade of Rage,2,Simian,Environ,Reaction: Vigorous Growth: You may pay 1 to give a unit that occupies this tile +1 mv +1atk,,,,,,C
CSi12: Kyrian Mountainside,1,Simian,Environ,Aura: Verdance Vigor: Friendly units in this environ gain +2Atk,,,,,,C
CSi13: Calm Clearning,2,Simian,Environ,"Aura: Paths of Grass: You may pay 1 to allow an ally to move through this tile for free.
 
",,,,,,C
CSi13: Fastball,1,Simian,Tactic,Choose an ally simian unit as your thrower and an ally unit with less defense or ally wielder adjacent to your thrower as your projectile. Move your projectile to an open tile within 2 tiles of your thrower,,,,,,C
CSi14: Kyrian Defolade,1,Simian,Tactic,A chosen unit in a friendly environ takes no counter-attack damage this turn,,,,,,C
CSi15: Arborial Crush,2,Simian,Tactic,Chosen unit in a friendly environ gets +2Atk +2Def for each adjacent friendly environ,,,,,,C
CSi16: Forest Ambush,2,Simian,Stratagem,This deals damage to a chosen unit in a friendly environ equal to the attack of another chosen friendly unit adjacent to it,,,,,,C
CFe01: Fen Ambusher,1,Fenan,Unit,Aura: You may deploy this into any unoccupied friendly environ,1,1,1,"Guerilla 1:
can appear in unocced env",,C
CFe02: Naturalizer,2,Fenan,Unit,Reaction: You may sacrifice this to deploy an environ adjacent to it,1,2,1,"Shaman:
Sacs for env",,C
CFe03: Mirage Crafter,2,Fenan,Unit,Reaction: You must discard a Fenan to activate this. Put a Structure from your hand into an unoccupied friendly environ. Sacrifice it at the end of the turn,3,1,1,"Shaman 2:
Spawns temp. thing in friendly fen",,C
CFe04: Islandback Turtle,2,Fenan,Unit,"Reaction: When this enters the field, you may move a structure adjacent to this to another unoccupied tile adjacent to it",2,2,1,"Transporter 1:
can move Struct around when deployed",,C
CFe05: Cybrdid Launcher,2,Fenan,Unit,Reaction: When this enters the field you may move an adjacent ally structure to an unoccupied tile within 2 tiles of this,2,2,1,"Transporter 2:
can throw struct on deploy",,C
