name,cost,type,subtype,description,attack,health,move,value
Berserker,1,Unit,Infantry,Battle ready (enters the field refreshed). Battlecry(when this unit enters the battlefield): get +0/+0/+1 ,2,1,1,1
Ballista,3,Unit,Artillery,Ballista can only attack units up to 4 tiles in front of it,3,1,1,1
Captain,2,Unit,Infantry,Units in front of Captain get +1/+0/+0,2,1,1,1
Sargent,2,Unit,Infantry,Battlecry (when this unit enters the battlefield): draw a card,1,1,1,1
Archer,2,Unit,Infantry,Range 2 (can attack any unit within 2 tiles in a straight line).  ,3,1,2,1
Knight,1,Unit,Infantry,,1,1,2,1
Assassin,1,Unit,Infantry,Assassin can move through enemy units. Sacrifice Assassin if it's attacked,3,1,2,1
Strike Lead,2,Unit,Infantry,Adjacent Units get +1/+1/+0,1,1,1,1
Barracks,1,Structure,,Infantry deployed near Barracks get +1/+1/+0 this turn,,3,,1
Dire Rescue,1,Tactic,,Rampage (this unit gains +1/+1 whenever you deal non-combat damage),1,2,3,1
Bolster,2,Tactic,,Technician (this unit gains +1/+1 whenever you deploy non-unit ordinance),1,2,3,1
Dig in,2,Stratagem,,Target a tile adjacent to you. Units adjacent to target tile gain +2/+2 this turn,,,,1
Nexus Drake,N,Unit,Avian Beast,"Airborne (can move ""over"" units). Rampage (this unit gains +1/+1 whenever you deal non-combat damage).",2,1,2,N
Pyrokin Crusader,1 N,Unit,Humanoid,Battlecry (triggers when this unit enters the battlefield): Incinerate the top 2 cards of your damage pile. You may play one this turn,2,2,3,N
,,,,,,,,
The Novice,,Wielder,Novice,You may create a conduit and/or move your wielder once per turn,-,-,1,G
The Novice,,Wielder,Novice,You may create a conduit and/or move your wielder once per turn,-,-,1,G
Bane of the Jungle,N N N,Unit,Beast,Rampage (this unit gains +1/+1 whenever you deal non-combat damage). Technician (this unit gains +1/+1 whenever you deploy non-unit ordinance).,2,3|2,3,G
